data_captura,codigo_insumo,descricao_insumo,unidade,preco_mediano,uf,data_referencia,desonerado
2026-06-12,00001379,Cimento portland composto cp ii-32,KG,0.75,SP,2026-01,True
2026-06-12,00000370,"Areia media - posto jazida/fornecedor (retirado na jazida, sem transporte)",M3,88.72,SP,2026-01,True
2026-06-12,00004721,"Pedra britada n. 1 (9,5 a 19 mm) posto pedreira/fornecedor, sem frete",M3,79.46,SP,2026-01,True
2026-06-12,00000114,"Aco ca-50, 10,0 mm, ou ca-60, linear, vergalhao",KG,8.43,SP,2026-01,True
2026-06-12,00007258,Tijolo ceramico macico comum *5 x 10 x 20* cm (l x a x c),MIL,654.61,SP,2026-01,True
2026-06-12,00007271,Bloco de concreto estrutural 14 x 19 x 39 cm,UN,3.82,SP,2026-01,True
2026-06-12,00003402,"Telha ceramica tipo francesa, comprimento de cerca de 40 cm",UN,2.23,SP,2026-01,True
2026-06-12,00005318,"Tubo pvc soldavel, classe 15, dn 50 mm, para agua fria (nbr 5648)",M,11.85,SP,2026-01,True
2026-06-12,00001014,"Cabo de cobre flexivel isolado, 2,5 mm2, anti-chama 450/750 v",M,2.49,SP,2026-01,True
2026-06-12,00004812,"Disjuntor termomagnetico monopolar padrao din, 10a a 32a",UN,14.79,SP,2026-01,True
2026-06-12,00001287,"Tinta latex acrilica premium, cor branco fosco",L,21.81,SP,2026-01,True
2026-06-12,00001382,Argamassa colante ac-i para assentamento de placas ceramicas,KG,1.2,SP,2026-01,True
2026-06-12,00001389,"Placa de ceramica para piso, esmaltada premium, PEI 4",M2,34.5,SP,2026-01,True
2026-06-12,00000088,Pedreiro (horista),H,24.77,SP,2026-01,True
2026-06-12,00006111,Servente de pedreiro (horista),H,18.08,SP,2026-01,True
2026-06-12,00000120,Pintor (horista),H,24.03,SP,2026-01,True
2026-06-12,00000246,Eletricista (horista),H,25.78,SP,2026-01,True
2026-06-12,00000247,Encanador (horista),H,25.07,SP,2026-01,True
2026-06-12,00004012,Carpinteiro de formas (horista),H,25.23,SP,2026-01,True
2026-06-12,00001379,Cimento portland composto cp ii-32,KG,0.74,SP,2026-01,False
2026-06-12,00000370,"Areia media - posto jazida/fornecedor (retirado na jazida, sem transporte)",M3,90.83,SP,2026-01,False
2026-06-12,00004721,"Pedra britada n. 1 (9,5 a 19 mm) posto pedreira/fornecedor, sem frete",M3,80.48,SP,2026-01,False
2026-06-12,00000114,"Aco ca-50, 10,0 mm, ou ca-60, linear, vergalhao",KG,8.46,SP,2026-01,False
2026-06-12,00007258,Tijolo ceramico macico comum *5 x 10 x 20* cm (l x a x c),MIL,643.28,SP,2026-01,False
2026-06-12,00007271,Bloco de concreto estrutural 14 x 19 x 39 cm,UN,3.85,SP,2026-01,False
2026-06-12,00003402,"Telha ceramica tipo francesa, comprimento de cerca de 40 cm",UN,2.19,SP,2026-01,False
2026-06-12,00005318,"Tubo pvc soldavel, classe 15, dn 50 mm, para agua fria (nbr 5648)",M,11.85,SP,2026-01,False
2026-06-12,00001014,"Cabo de cobre flexivel isolado, 2,5 mm2, anti-chama 450/750 v",M,2.47,SP,2026-01,False
2026-06-12,00004812,"Disjuntor termomagnetico monopolar padrao din, 10a a 32a",UN,15.16,SP,2026-01,False
2026-06-12,00001287,"Tinta latex acrilica premium, cor branco fosco",L,22.07,SP,2026-01,False
2026-06-12,00001382,Argamassa colante ac-i para assentamento de placas ceramicas,KG,1.21,SP,2026-01,False
2026-06-12,00001389,"Placa de ceramica para piso, esmaltada premium, PEI 4",M2,35.24,SP,2026-01,False
2026-06-12,00000088,Pedreiro (horista),H,29.53,SP,2026-01,False
2026-06-12,00006111,Servente de pedreiro (horista),H,21.54,SP,2026-01,False
2026-06-12,00000120,Pintor (horista),H,28.22,SP,2026-01,False
2026-06-12,00000246,Eletricista (horista),H,30.73,SP,2026-01,False
2026-06-12,00000247,Encanador (horista),H,29.79,SP,2026-01,False
2026-06-12,00004012,Carpinteiro de formas (horista),H,29.6,SP,2026-01,False
2026-06-12,00001379,Cimento portland composto cp ii-32,KG,0.78,RJ,2026-01,True
2026-06-12,00000370,"Areia media - posto jazida/fornecedor (retirado na jazida, sem transporte)",M3,92.92,RJ,2026-01,True
2026-06-12,00004721,"Pedra britada n. 1 (9,5 a 19 mm) posto pedreira/fornecedor, sem frete",M3,82.91,RJ,2026-01,True
2026-06-12,00000114,"Aco ca-50, 10,0 mm, ou ca-60, linear, vergalhao",KG,8.64,RJ,2026-01,True
2026-06-12,00007258,Tijolo ceramico macico comum *5 x 10 x 20* cm (l x a x c),MIL,664.03,RJ,2026-01,True
2026-06-12,00007271,Bloco de concreto estrutural 14 x 19 x 39 cm,UN,3.89,RJ,2026-01,True
2026-06-12,00003402,"Telha ceramica tipo francesa, comprimento de cerca de 40 cm",UN,2.24,RJ,2026-01,True
2026-06-12,00005318,"Tubo pvc soldavel, classe 15, dn 50 mm, para agua fria (nbr 5648)",M,12.26,RJ,2026-01,True
2026-06-12,00001014,"Cabo de cobre flexivel isolado, 2,5 mm2, anti-chama 450/750 v",M,2.54,RJ,2026-01,True
2026-06-12,00004812,"Disjuntor termomagnetico monopolar padrao din, 10a a 32a",UN,15.35,RJ,2026-01,True
2026-06-12,00001287,"Tinta latex acrilica premium, cor branco fosco",L,22.75,RJ,2026-01,True
2026-06-12,00001382,Argamassa colante ac-i para assentamento de placas ceramicas,KG,1.23,RJ,2026-01,True
2026-06-12,00001389,"Placa de ceramica para piso, esmaltada premium, PEI 4",M2,35.91,RJ,2026-01,True
2026-06-12,00000088,Pedreiro (horista),H,25.53,RJ,2026-01,True
2026-06-12,00006111,Servente de pedreiro (horista),H,18.41,RJ,2026-01,True
2026-06-12,00000120,Pintor (horista),H,25.04,RJ,2026-01,True
2026-06-12,00000246,Eletricista (horista),H,26.9,RJ,2026-01,True
2026-06-12,00000247,Encanador (horista),H,25.83,RJ,2026-01,True
2026-06-12,00004012,Carpinteiro de formas (horista),H,25.5,RJ,2026-01,True
2026-06-12,00001379,Cimento portland composto cp ii-32,KG,0.78,RJ,2026-01,False
2026-06-12,00000370,"Areia media - posto jazida/fornecedor (retirado na jazida, sem transporte)",M3,91.76,RJ,2026-01,False
2026-06-12,00004721,"Pedra britada n. 1 (9,5 a 19 mm) posto pedreira/fornecedor, sem frete",M3,82.1,RJ,2026-01,False
2026-06-12,00000114,"Aco ca-50, 10,0 mm, ou ca-60, linear, vergalhao",KG,8.88,RJ,2026-01,False
2026-06-12,00007258,Tijolo ceramico macico comum *5 x 10 x 20* cm (l x a x c),MIL,672.31,RJ,2026-01,False
2026-06-12,00007271,Bloco de concreto estrutural 14 x 19 x 39 cm,UN,3.92,RJ,2026-01,False
2026-06-12,00003402,"Telha ceramica tipo francesa, comprimento de cerca de 40 cm",UN,2.28,RJ,2026-01,False
2026-06-12,00005318,"Tubo pvc soldavel, classe 15, dn 50 mm, para agua fria (nbr 5648)",M,12.49,RJ,2026-01,False
2026-06-12,00001014,"Cabo de cobre flexivel isolado, 2,5 mm2, anti-chama 450/750 v",M,2.6,RJ,2026-01,False
2026-06-12,00004812,"Disjuntor termomagnetico monopolar padrao din, 10a a 32a",UN,15.32,RJ,2026-01,False
2026-06-12,00001287,"Tinta latex acrilica premium, cor branco fosco",L,22.34,RJ,2026-01,False
2026-06-12,00001382,Argamassa colante ac-i para assentamento de placas ceramicas,KG,1.23,RJ,2026-01,False
2026-06-12,00001389,"Placa de ceramica para piso, esmaltada premium, PEI 4",M2,35.8,RJ,2026-01,False
2026-06-12,00000088,Pedreiro (horista),H,30.12,RJ,2026-01,False
2026-06-12,00006111,Servente de pedreiro (horista),H,22.17,RJ,2026-01,False
2026-06-12,00000120,Pintor (horista),H,29.5,RJ,2026-01,False
2026-06-12,00000246,Eletricista (horista),H,31.42,RJ,2026-01,False
2026-06-12,00000247,Encanador (horista),H,30.53,RJ,2026-01,False
2026-06-12,00004012,Carpinteiro de formas (horista),H,30.29,RJ,2026-01,False
2026-06-12,00001379,Cimento portland composto cp ii-32,KG,0.72,MG,2026-01,True
2026-06-12,00000370,"Areia media - posto jazida/fornecedor (retirado na jazida, sem transporte)",M3,85.39,MG,2026-01,True
2026-06-12,00004721,"Pedra britada n. 1 (9,5 a 19 mm) posto pedreira/fornecedor, sem frete",M3,75.46,MG,2026-01,True
2026-06-12,00000114,"Aco ca-50, 10,0 mm, ou ca-60, linear, vergalhao",KG,8.01,MG,2026-01,True
2026-06-12,00007258,Tijolo ceramico macico comum *5 x 10 x 20* cm (l x a x c),MIL,618.64,MG,2026-01,True
2026-06-12,00007271,Bloco de concreto estrutural 14 x 19 x 39 cm,UN,3.58,MG,2026-01,True
2026-06-12,00003402,"Telha ceramica tipo francesa, comprimento de cerca de 40 cm",UN,2.1,MG,2026-01,True
2026-06-12,00005318,"Tubo pvc soldavel, classe 15, dn 50 mm, para agua fria (nbr 5648)",M,11.54,MG,2026-01,True
2026-06-12,00001014,"Cabo de cobre flexivel isolado, 2,5 mm2, anti-chama 450/750 v",M,2.37,MG,2026-01,True
2026-06-12,00004812,"Disjuntor termomagnetico monopolar padrao din, 10a a 32a",UN,14.13,MG,2026-01,True
2026-06-12,00001287,"Tinta latex acrilica premium, cor branco fosco",L,21.21,MG,2026-01,True
2026-06-12,00001382,Argamassa colante ac-i para assentamento de placas ceramicas,KG,1.14,MG,2026-01,True
2026-06-12,00001389,"Placa de ceramica para piso, esmaltada premium, PEI 4",M2,32.84,MG,2026-01,True
2026-06-12,00000088,Pedreiro (horista),H,23.43,MG,2026-01,True
2026-06-12,00006111,Servente de pedreiro (horista),H,16.9,MG,2026-01,True
2026-06-12,00000120,Pintor (horista),H,22.89,MG,2026-01,True
2026-06-12,00000246,Eletricista (horista),H,24.92,MG,2026-01,True
2026-06-12,00000247,Encanador (horista),H,23.69,MG,2026-01,True
2026-06-12,00004012,Carpinteiro de formas (horista),H,23.44,MG,2026-01,True
2026-06-12,00001379,Cimento portland composto cp ii-32,KG,0.71,MG,2026-01,False
2026-06-12,00000370,"Areia media - posto jazida/fornecedor (retirado na jazida, sem transporte)",M3,86.77,MG,2026-01,False
2026-06-12,00004721,"Pedra britada n. 1 (9,5 a 19 mm) posto pedreira/fornecedor, sem frete",M3,76.07,MG,2026-01,False
2026-06-12,00000114,"Aco ca-50, 10,0 mm, ou ca-60, linear, vergalhao",KG,8.19,MG,2026-01,False
2026-06-12,00007258,Tijolo ceramico macico comum *5 x 10 x 20* cm (l x a x c),MIL,624.18,MG,2026-01,False
